ThreadNumber	CommentPosition	WordCount	NegativeVE	PositiveVE	Normalcy	Safety	SharedSpace	ComingOfAge	Friends	Learning	Mental	Technology	Policy	Management
1	1	264	1	0	0	1	1	1	1	0	1	1	1	0
2	1	96	0	1	1	0	1	0	0	0	0	0	1	0
3	1	199	1	0	0	0	0	0	0	0	0	1	0	1
4	1	139	1	1	1	0	1	0	1	0	0	0	0	1
5	1	66	0	1	1	0	0	0	0	0	0	1	1	0
6	1	139	1	0	0	1	1	0	0	0	1	0	1	0
7	1	254	0	1	1	0	0	0	1	0	1	0	1	0
8	1	210	1	1	1	0	1	0	1	1	0	1	0	1
9	1	132	1	0	0	0	0	0	0	0	1	0	1	1
10	1	222	1	0	1	0	1	0	1	0	1	0	1	0
11	1	96	1	0	1	0	0	0	1	1	0	1	0	0
12	1	272	0	1	1	0	1	1	1	0	0	1	1	0
13	1	142	0	1	1	0	0	0	1	0	0	0	1	0
14	1	154	1	0	1	1	1	0	0	1	1	1	0	1
15	1	248	1	1	1	0	1	1	1	1	1	1	1	1
16	1	71	1	0	0	0	1	0	0	0	0	0	0	0
17	1	132	1	0	1	0	1	0	1	0	0	0	1	0
17	2	11	1	0	0	0	0	0	0	0	0	0	1	0
18	1	167	0	1	1	0	0	0	0	0	1	0	1	0
19	1	67	0	1	0	0	0	0	0	0	0	0	1	0
20	1	175	1	0	1	0	0	0	1	0	0	0	1	1
21	1	166	1	0	1	0	0	0	0	1	0	1	0	0
22	1	164	1	0	0	0	0	0	1	1	1	1	0	1
23	1	111	1	1	1	0	0	0	1	0	0	0	0	0
27	1	125	1	0	0	0	0	1	0	1	0	1	0	1
28	1	170	0	1	1	0	0	1	1	1	0	1	1	1
29	1	101	1	0	1	0	0	1	0	1	0	1	0	0
30	1	130	0	1	1	0	0	0	0	0	0	0	1	0
31	1	82	1	0	1	0	1	1	0	0	0	0	0	0
32	1	84	0	1	1	0	1	0	0	1	0	1	0	0
32	2	36	0	0	0	0	0	0	0	0	0	0	0	0
33	1	222	1	0	1	0	1	0	1	1	0	1	1	0
34	1	85	0	1	0	0	0	0	1	1	0	1	1	0
35	1	265	1	1	0	0	1	0	0	1	0	1	1	1
36	1	146	1	0	0	0	0	0	1	1	0	0	1	0
37	1	142	0	0	0	0	0	0	0	1	1	0	0	0
38	1	209	1	0	1	0	1	0	0	0	0	0	1	0
39	1	122	1	0	0	0	0	0	1	0	0	0	0	0
39	2	1	0	0	0	0	0	0	0	0	0	0	0	0
40	1	109	0	0	1	0	0	0	0	0	0	0	1	0
41	1	84	1	0	1	0	0	0	0	1	0	1	1	0
41	2	3	0	0	0	0	0	0	0	0	0	0	0	0
43	1	249	1	1	1	0	0	0	1	0	0	0	0	0
44	1	97	1	1	0	0	1	0	0	1	1	1	1	0
44	2	1	0	0	0	0	0	0	0	0	0	0	0	0
45	1	193	1	0	1	0	1	0	0	1	0	1	1	0
46	1	6	0	0	1	0	0	0	0	0	0	0	0	0
47	1	141	0	0	1	0	0	0	0	0	1	0	0	1
48	1	285	1	1	1	0	1	0	1	0	0	1	0	1
49	1	283	0	1	1	0	0	1	1	0	1	0	1	0
51	1	214	1	0	1	0	1	1	0	1	0	1	0	1
52	1	205	1	0	0	0	0	1	1	1	1	1	1	0
53	1	189	1	0	0	0	1	0	0	1	0	1	0	0
53	2	1	0	0	0	0	0	0	0	0	0	0	0	0
54	1	134	0	1	1	0	0	0	0	0	0	0	1	0
55	1	200	0	1	1	0	1	0	1	0	0	1	0	0
56	1	142	0	0	1	0	0	0	1	1	0	1	0	1
56	2	16	0	0	0	0	0	0	0	0	0	1	0	0
57	1	68	0	0	1	0	1	0	0	0	0	1	0	1
57	2	7	0	0	0	0	0	0	0	0	0	0	0	0
59	1	203	1	1	0	1	1	1	1	0	0	0	1	0
60	1	100	0	1	1	0	0	0	1	0	0	0	0	1
61	1	105	1	1	1	0	0	0	0	0	0	1	1	0
62	1	133	1	0	1	0	0	0	0	0	1	0	0	1
64	1	124	1	0	1	0	0	1	0	1	0	0	0	0
65	1	176	1	0	1	0	1	1	1	0	0	0	0	0
66	1	194	1	0	1	0	0	1	0	0	1	1	1	0
68	1	168	1	0	1	0	1	0	1	1	0	1	0	0
69	1	36	1	1	0	0	0	0	1	0	0	0	0	0
70	1	173	1	0	0	0	1	0	0	1	0	1	0	0
71	1	74	0	1	1	1	0	0	0	0	0	0	0	0
72	1	118	1	1	0	0	0	0	1	0	0	1	1	1
73	1	247	0	1	1	0	0	1	1	0	0	0	0	0
74	1	117	1	0	1	0	0	0	0	0	1	0	1	1
74	2	15	0	0	0	0	0	0	0	0	0	0	0	0
74	3	14	1	0	0	0	0	0	0	0	0	0	0	0
74	4	14	1	0	0	0	0	0	0	0	0	0	0	0
77	1	119	1	0	0	0	1	1	0	1	0	0	0	0
78	1	171	1	1	1	1	1	0	1	1	0	1	0	0
79	1	49	0	1	1	0	0	0	0	0	0	0	0	0
80	1	74	0	1	1	0	1	0	0	0	0	0	0	0
81	1	175	0	0	0	0	0	0	1	1	0	0	0	1
83	1	21	0	1	1	0	0	0	0	0	0	0	0	1
86	1	197	1	0	1	1	0	0	0	0	0	0	1	0
88	1	169	0	0	0	0	0	0	0	1	1	1	0	1
90	1	61	0	1	1	0	1	0	0	0	0	0	0	0
92	1	159	0	1	1	0	0	0	0	0	1	0	0	1
94	1	101	0	1	0	1	1	0	1	0	0	0	0	0
95	1	134	1	1	1	0	0	0	0	0	0	0	0	1
97	1	65	0	1	1	0	0	0	0	0	0	0	0	1
98	1	95	1	1	1	0	1	0	0	0	0	0	1	0
103	1	253	1	0	0	1	1	0	0	0	0	0	1	1
104	1	184	0	0	1	0	1	0	1	0	0	0	1	1
105	1	152	1	1	1	0	0	0	0	1	0	1	1	1
106	1	97	1	1	0	0	1	0	1	0	0	0	0	0
107	1	69	0	1	1	0	0	0	0	0	0	0	0	0
109	1	68	1	0	1	0	0	0	0	0	0	0	0	1
110	1	148	1	0	0	0	1	0	0	1	0	0	0	1
111	1	137	0	1	1	0	1	0	1	1	0	1	0	1
113	1	113	1	1	0	0	0	0	0	1	0	1	0	0
116	1	198	0	1	0	1	0	0	0	1	0	1	1	1
120	1	78	1	1	1	1	0	0	0	0	0	0	0	0
121	1	94	1	1	1	0	1	0	1	0	0	0	0	0
122	1	43	0	1	1	0	0	0	0	0	0	0	1	1
123	1	111	1	0	1	0	0	0	0	0	0	0	1	1
124	1	167	1	1	1	0	0	0	1	0	1	1	0	1
125	1	140	1	1	1	0	0	0	1	0	0	0	1	1
126	1	71	1	1	0	0	0	0	0	0	0	0	0	0
127	1	59	0	1	0	0	0	0	0	0	0	0	1	0
128	1	110	0	1	1	0	0	0	0	0	0	0	1	1
129	1	42	1	0	0	0	1	0	0	0	0	0	0	0
130	1	98	1	0	1	1	1	0	0	0	0	0	0	0
131	1	114	0	0	1	0	1	0	1	0	0	0	1	0
132	1	89	0	0	0	0	1	0	0	0	0	1	0	1
133	1	146	1	0	0	0	1	0	1	1	0	0	0	1
133	2	3	0	0	0	0	0	0	0	0	0	0	0	0
134	1	153	0	1	1	0	1	0	0	0	0	0	1	1
135	1	71	0	0	1	0	0	0	0	0	0	0	1	0
136	1	90	0	1	1	0	0	0	1	0	0	0	0	0
138	1	249	1	0	0	1	1	1	1	0	0	1	1	1
139	1	152	0	1	0	0	0	0	0	0	0	1	0	1
140	1	59	0	1	0	0	0	0	0	0	0	0	1	0
141	1	133	1	0	0	0	1	0	0	1	0	0	0	1
142	1	105	1	1	1	1	0	0	1	0	0	0	0	0
143	1	166	0	1	1	0	0	0	0	0	0	0	1	1
144	1	167	0	1	1	0	0	0	0	1	0	1	1	1
145	1	77	0	1	1	0	0	0	0	1	0	1	0	1
146	1	201	0	1	1	0	1	0	1	1	0	1	1	1
147	1	80	0	0	0	0	0	0	0	0	0	1	1	0
148	1	96	0	1	1	0	0	0	0	1	0	0	1	0
149	1	110	1	0	0	0	1	0	1	0	0	0	0	1
150	1	141	1	1	0	0	1	0	0	0	1	1	0	0
151	1	125	1	0	0	0	0	0	0	1	0	1	1	1
152	1	123	0	1	1	0	1	0	0	0	0	1	0	1
153	1	182	1	0	1	0	1	0	0	1	0	0	1	0
154	1	141	1	0	1	0	0	0	0	0	0	1	0	1
155	1	211	1	0	0	0	1	0	0	0	1	1	0	1
156	1	240	1	0	1	0	1	0	0	0	0	0	1	1
156	2	16	0	1	1	0	0	0	0	0	0	0	0	0
157	1	199	1	0	0	0	1	0	0	1	0	1	0	1
158	1	141	1	0	1	1	0	0	0	0	0	0	1	0
159	1	135	0	1	1	1	0	0	1	1	0	1	0	1
160	1	95	1	0	1	1	0	0	0	1	0	0	0	1
161	1	39	1	0	0	0	0	0	0	0	0	1	0	0
162	1	166	1	1	1	1	0	0	0	0	0	1	1	0
163	1	256	1	1	1	0	1	1	1	1	0	1	1	1
165	1	72	1	0	0	0	1	0	0	0	0	0	0	1
166	1	111	0	1	1	0	0	0	0	0	0	1	1	0
167	1	93	1	0	0	0	1	0	0	0	0	1	0	1
168	1	226	1	0	1	0	1	0	1	1	0	0	0	1
169	1	77	0	1	1	1	0	0	0	0	0	0	1	0
170	1	37	1	0	0	0	0	0	1	0	0	0	0	0
171	1	202	0	1	0	0	1	0	1	0	0	1	0	1
172	1	144	1	1	1	1	0	1	0	0	0	1	0	0
174	1	154	1	0	1	0	0	0	0	1	0	1	1	1
175	1	148	0	1	0	0	0	0	0	0	0	0	1	1
176	1	43	0	1	0	0	0	0	1	0	0	0	0	0
177	1	75	1	0	1	0	1	0	0	0	0	0	1	1
178	1	55	0	1	1	0	0	0	0	0	0	0	0	0
