LABEL,Affirmation,Changes,Childhood,Cry,DoseTracking,Doubt,Dream,Experiment,Family,Happy,Identity,Letter,Longing,Name,NonHappy,Oily,Out,Passed,Recipe,SkippedDose,Sweets,WWW
Auto Cluster #1,0,12,1,0,18,5,2,10,0,9,5,0,3,0,12,4,0,0,0,14,9,1
Auto Cluster #2,7,17,13,1,21,0,5,6,1,4,12,0,0,0,37,19,0,2,0,47,46,4
Auto Cluster #3,0,1,0,0,0,3,0,2,0,2,1,0,0,0,8,3,0,0,0,4,3,0
Auto Cluster #4,2,2,4,0,0,0,0,2,3,2,5,1,3,2,6,4,1,0,0,5,5,2
No Label,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,5,0
Auto Cluster #5,0,0,1,0,0,0,0,0,0,6,1,0,1,1,8,2,0,0,1,0,10,2
Auto Cluster #6,2,2,5,2,1,0,0,2,1,13,3,0,2,1,9,0,0,0,0,0,9,0
Auto Cluster #7,4,1,5,1,1,0,1,0,2,17,3,1,0,1,10,0,0,2,2,0,12,2
Auto Cluster #8,1,0,2,1,0,0,2,0,1,12,1,0,2,4,9,0,3,0,1,0,4,2
Auto Cluster #9,17,4,1,6,0,1,2,7,2,45,2,2,5,9,11,0,13,7,0,0,21,9
